##n,orderinfo,name,comment,z,x,y, pixmax,intensity,sdev,volsize,mass,,,, color_r,color_g,color_b
0, , ,, 31.000,1097.000,72.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 34.000,869.000,68.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 31.000,1054.000,76.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 32.000,1009.000,87.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 33.000,958.000,80.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 33.000,1066.000,94.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 34.000,1151.000,61.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 32.000,1218.000,62.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 33.000,1166.000,63.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 32.000,1235.000,65.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 33.000,1340.000,69.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 33.000,1298.000,74.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 33.000,1276.000,76.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 36.000,1197.000,82.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 34.000,1355.000,83.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 35.000,1181.000,60.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 32.000,1135.000,65.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 33.000,1179.000,75.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 37.000,1219.000,77.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 39.000,1259.000,79.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 37.000,905.000,89.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 35.000,634.000,92.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 26.000,955.000,120.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 35.000,1199.000,61.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 33.000,1264.000,63.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 38.000,621.000,64.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 33.000,1248.000,63.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 31.000,1355.000,65.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 35.000,1152.000,73.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 34.000,1323.000,71.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 35.000,1160.000,82.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 37.000,693.000,87.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 37.000,1239.000,83.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 39.000,410.000,68.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 35.000,1397.000,66.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 36.000,988.000,79.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 39.000,609.000,85.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 43.000,533.000,79.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 37.000,1145.000,96.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 38.000,1311.000,57.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 43.000,707.000,61.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 41.000,922.000,59.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 40.000,486.000,67.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 41.000,1108.000,69.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 36.000,1083.000,69.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 36.000,1441.000,76.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 37.000,1173.000,89.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 35.000,1341.000,84.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 39.000,1262.000,48.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,578.000,60.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 40.000,820.000,60.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 42.000,1443.000,64.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 40.000,1297.000,65.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 43.000,318.000,63.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 37.000,1489.000,72.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 40.000,727.000,79.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 40.000,441.000,83.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 41.000,789.000,86.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 40.000,1386.000,88.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 37.000,1366.000,95.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 38.000,1215.000,93.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 40.000,1346.000,47.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 40.000,1210.000,50.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 38.000,1384.000,53.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 38.000,1327.000,59.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 39.000,1341.000,60.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 39.000,1424.000,59.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 42.000,760.000,64.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 41.000,670.000,64.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 39.000,1422.000,82.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 42.000,1254.000,92.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 41.000,1105.000,92.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 41.000,1277.000,94.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 40.000,1339.000,99.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 38.000,1184.000,96.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 43.000,1061.000,46.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 43.000,1111.000,45.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 46.000,1449.000,51.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 42.000,1291.000,52.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 40.000,1409.000,57.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 37.000,1370.000,62.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 43.000,1171.000,70.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 46.000,294.000,75.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 43.000,1332.000,85.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 42.000,825.000,96.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,524.000,104.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,1135.000,46.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 45.000,1158.000,56.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 40.000,1232.000,51.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,459.000,55.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 45.000,350.000,61.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 42.000,1361.000,76.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 43.000,1324.000,75.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 42.000,1294.000,84.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 42.000,1404.000,86.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 43.000,1460.000,85.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 45.000,1005.000,105.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,1091.000,111.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 39.000,1094.000,34.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,1249.000,43.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 46.000,865.000,47.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,962.000,53.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 41.000,1176.000,52.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,1398.000,50.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 48.000,277.000,69.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 48.000,258.000,70.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 44.000,1248.000,71.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
